"x"	"y"	"z"	"id"	"BHD"	"h"	"crownLength"	"crownArea"	"crownVolume"	"crownDiameter"
-69,11292673	121,5114816	-81,146	218	5,549261176	1,96	0	0	0	0
-98,09441245	64,92266082	-57,984	219	7,068	5,36	0	0	0	0
14,22851	-28,59755	9,26	220	7,9544	34,22	0	0	0	0
-105,2474193	97,1181028	-74,812	221	7,424621951	6,22	0	0	0	0
-111,0155589	90,92524233	-72,634	222	8,802761104	7,2	0	0	0	0
11,33227	-12,17759	2,164	223	12,834	10,91	6,31	22,8	47,1	6,1
-110,4334077	96,00547745	-75,255	224	13,16325836	13,9	9,5	7,8	22,2	3,4
-109,0691822	82,99614333	-68,361	225	3,945843137	1,96	0	0	0	0
-113,8496183	87,2107575	-71,861	226	10,09691667	11,49	0	0	0	0
-115,6880358	80,37969702	-68,299	227	9,605093168	9,69	7,49	5,3	16,2	2,7
-116,3580906	88,860498	-72,784	228	8,8208	13,73	3,18	2,5	2,5	6,3
-114,450469	91,64478486	-72,531	229	16,57121495	14,61	0	0	0	0
-72,28254052	123,1188927	-83,296	230	10,8156497	7,17	0	0	0	0
-115,5839619	78,43012638	-67,576	231	15,82082759	11,91	0	0	0	0
-41,16064667	104,4493693	-70,586	232	74,6312	39,81	13,26	60,7	112,5	9,2
-39,73316282	109,4680707	-72,741	233	4,482842878	4,55	0	0	0	0
-39,92093491	106,6778969	-71,752	234	8,759975155	2,88	0	0	0	0
-60,1195952	105,9061212	-70,254	235	4,5052	2,58	0	0	0	0
-59,65406678	104,7460785	-70,118	236	11,74199424	5,26	3,66	2,3	3,8	1,8
-61,7623	104,44826	-70,183	237	10,223	9,27	6,27	3,4	7,1	2,3
-61,84754163	104,997796	-70,435	238	5,357321888	6,17	0	0	0	0
-13,09188479	118,0804011	-74,026	239	6	4,22	0	0	0	0
4,304953944	109,1718797	-61,314	240	9,013690141	3,84	0	0	0	0
-11,34937437	137,7772238	-83,141	241	35	29,77	25,37	42,4	110,8	7,6
-60,60538268	103,3369896	-69,539	242	11,72926412	5,76	0	0	0	0
-4,71877549	13,84812451	-2,807	243	55,49807843	24,88	20,43	45,2	86,8	7,9
14,47224648	-12,69714343	1,862	244	16,78582857	10,54	0	0	0	0
11,41329193	120,0440132	-65,478	245	6	6,18	0	0	0	0
-20,01427656	149,922979	-91,664	246	13,16262214	7,95	0	0	0	0
17,46247215	125,8697677	-69,164	247	4	4,73	0	0	0	0
-46,08530939	140,8923356	-90,619	248	13,77390476	15,83	0	0	0	0
-39,1687174	139,7536376	-89,788	249	13,60484	3,86	0	0	0	0
-41,69020833	142,3992175	-91,006	250	16,39472917	14,84	0	0	0	0
-20,15441667	148,7100133	-91,337	251	14,50433333	11,57	0	0	0	0
-30,51452551	144,0812844	-90,56	252	13,48867066	10,5	0	0	0	0
10,90976928	-24,04661732	8,671	253	11,05976158	4,1	0	0	0	0
-65,91435043	101,5545211	-69,693	254	6,953828571	3,29	0	0	0	0
-66,22582216	101,0207349	-69,754	255	6,571861472	5,69	4,64	4,1	8,9	2,7
-67,28799379	101,654708	-69,961	256	9,137684211	5,2	0	0	0	0
7,004541667	23,59549	-7,069	257	48,96233333	32,71	24,31	36,2	82,6	7
-60,4958655	102,2441972	-69,222	258	8,992874576	4,92	0	0	0	0
-64,29244843	101,1682476	-69,321	259	6,256648649	2,02	0	0	0	0
9,148472857	-28,89438714	10,731	260	8,291714286	32,44	27,34	44,5	50,2	8,3
-64,88103345	100,2676934	-69,011	261	7,913282851	3,17	0	0	0	0
-64,22261696	99,88663092	-68,811	262	8,727411471	7,66	3,01	15,6	18,9	5,4
5,493851429	19,41666948	-5,547	263	40,58005195	28,58	17,33	26,8	46,8	6,1
-65,84327489	113,24662	-74,854	264	9,363568862	5,01	0	0	0	0
-65,20054448	105,0776614	-70,377	265	7,107047619	3,61	0	0	0	0
-62,82929143	105,1618814	-70,787	266	11,29542857	3,2	0	0	0	0
6,979693292	-25,70475106	10,799	267	48,30881988	30,95	27,45	34,1	57,4	7
-66,46665292	110,3818125	-73,094	268	44,36064596	32,41	30,86	42,8	99,5	7,9
-100,4964897	96,3416446	-73,633	269	6,554881988	10,42	9,22	39,5	100,1	7,7
-87,83312994	111,5008781	-81,515	270	9,366525912	3,06	0	0	0	0
-4,330929125	20,2928445	-4,135	271	29,22705	23,91	18,01	18,1	40,8	5,2
-67,58248429	122,3045443	-81,21	272	34,33571429	26,56	17,36	31,9	68,8	6,8
-113,9290292	85,41514138	-70,865	273	4,601264368	1,29	0	0	0	0
-65,91586274	122,5960266	-80,831	274	52,97155789	36,14	20,09	57,8	127,8	9,2
-66,154401	118,6669428	-79,308	275	7,669475	7,69	0	0	0	0
-61,06820181	129,0447034	-85,401	276	13,5093494	10,62	0	0	0	0
